episode_id,instance_id,seed,incumbent_ref,episode_path,num_events,num_arrivals,num_breakdowns,first_event_time,last_event_time
syn_50x15_01_seed00_ep001,syn_50x15_01,0,outputs\episodes\synthetic_50x15\incumbents\syn_50x15_01_seed00.json,outputs\episodes\synthetic_50x15\episodes\syn_50x15_01_seed00_ep001.json,8,4,4,973.1046638971789,3602.8392238674805
syn_50x15_01_seed01_ep001,syn_50x15_01,1,outputs\episodes\synthetic_50x15\incumbents\syn_50x15_01_seed01.json,outputs\episodes\synthetic_50x15\episodes\syn_50x15_01_seed01_ep001.json,8,4,4,960.9622041258227,3366.2962637545374
syn_50x15_01_seed02_ep001,syn_50x15_01,2,outputs\episodes\synthetic_50x15\incumbents\syn_50x15_01_seed02.json,outputs\episodes\synthetic_50x15\episodes\syn_50x15_01_seed02_ep001.json,8,4,4,1036.3291398675271,3688.6479680157927
syn_50x15_01_seed03_ep001,syn_50x15_01,3,outputs\episodes\synthetic_50x15\incumbents\syn_50x15_01_seed03.json,outputs\episodes\synthetic_50x15\episodes\syn_50x15_01_seed03_ep001.json,8,4,4,967.3721259781653,3415.525475308554
syn_50x15_01_seed04_ep001,syn_50x15_01,4,outputs\episodes\synthetic_50x15\incumbents\syn_50x15_01_seed04.json,outputs\episodes\synthetic_50x15\episodes\syn_50x15_01_seed04_ep001.json,8,4,4,716.1864820092877,3444.541625837978
syn_50x15_02_seed00_ep001,syn_50x15_02,0,outputs\episodes\synthetic_50x15\incumbents\syn_50x15_02_seed00.json,outputs\episodes\synthetic_50x15\episodes\syn_50x15_02_seed00_ep001.json,8,4,4,983.9516646849993,3642.999343687655
syn_50x15_02_seed01_ep001,syn_50x15_02,1,outputs\episodes\synthetic_50x15\incumbents\syn_50x15_02_seed01.json,outputs\episodes\synthetic_50x15\episodes\syn_50x15_02_seed01_ep001.json,8,4,4,971.6738553715102,3403.819687061078
syn_50x15_02_seed02_ep001,syn_50x15_02,2,outputs\episodes\synthetic_50x15\incumbents\syn_50x15_02_seed02.json,outputs\episodes\synthetic_50x15\episodes\syn_50x15_02_seed02_ep001.json,8,4,4,1047.880891095977,3729.7645805442135
syn_50x15_02_seed03_ep001,syn_50x15_02,3,outputs\episodes\synthetic_50x15\incumbents\syn_50x15_02_seed03.json,outputs\episodes\synthetic_50x15\episodes\syn_50x15_02_seed03_ep001.json,8,4,4,978.1552273257398,3453.5976466751144
syn_50x15_02_seed04_ep001,syn_50x15_02,4,outputs\episodes\synthetic_50x15\incumbents\syn_50x15_02_seed04.json,outputs\episodes\synthetic_50x15\episodes\syn_50x15_02_seed04_ep001.json,8,4,4,724.1696678091267,3482.937234363283
syn_50x15_03_seed00_ep001,syn_50x15_03,0,outputs\episodes\synthetic_50x15\incumbents\syn_50x15_03_seed00.json,outputs\episodes\synthetic_50x15\episodes\syn_50x15_03_seed00_ep001.json,8,4,4,822.9012801065128,3046.7236663576123
syn_50x15_03_seed01_ep001,syn_50x15_03,1,outputs\episodes\synthetic_50x15\incumbents\syn_50x15_03_seed01.json,outputs\episodes\synthetic_50x15\episodes\syn_50x15_03_seed01_ep001.json,8,4,4,812.6330673846935,2846.692249492785
