intensity,budget_sec,scale,disturbance,mean_reward_delta,feasible_rate,mean_total_online_latency,mean_solver_runtime,n
L0,0.25,mk10,arrival_only,0.0,1.0,0.1223452400037786,0.024751697489409707,40
L1,0.25,mk10,arrival_only,1.7000000000000113,1.0,0.1331054524955107,0.035628479995648374,40
L2,0.25,mk10,arrival_only,1.3108048767286733,1.0,0.13383901501074433,0.03659184750285931,40
L3,0.25,mk10,arrival_only,-0.46099990182613054,0.675,0.21283681500353852,0.10606297999620437,40
L0,0.5,mk10,arrival_only,0.0,1.0,0.12236366499855648,0.02475218000181485,40
L1,0.5,mk10,arrival_only,2.0000000000000115,1.0,0.13411711498629303,0.036386932493769564,40
L2,0.5,mk10,arrival_only,0.8108048767286732,1.0,0.13651609999651554,0.037222325007314795,40
L3,0.5,mk10,arrival_only,-0.06102573254734125,0.7,0.28867950250569263,0.1818069225002546,40
L0,1.0,mk10,arrival_only,0.0,1.0,0.12325465250469278,0.02503845749888569,40
L1,1.0,mk10,arrival_only,1.9500000000000113,1.0,0.13392422249307856,0.03546700750302989,40
L2,1.0,mk10,arrival_only,1.3108048767286733,1.0,0.1344725224917056,0.03603725249704439,40
L3,1.0,mk10,arrival_only,-0.06102573254734125,0.7,0.440148539992515,0.3324230175028788,40
L0,2.0,mk10,arrival_only,0.0,1.0,0.12320140498923138,0.02519855248683598,40
L1,2.0,mk10,arrival_only,1.7000000000000113,1.0,0.1339974925009301,0.03597007000062149,40
L2,2.0,mk10,arrival_only,0.8108048767286732,1.0,0.13215782248880714,0.03487695998919662,40
L3,2.0,mk10,arrival_only,-0.06102573254734125,0.7,0.7427890800056047,0.6329807675007032,40
L0,5.0,mk10,arrival_only,0.0,1.0,0.1240251500159502,0.02560354750894476,40
L1,5.0,mk10,arrival_only,1.7000000000000113,1.0,0.13433277999865822,0.03608449999592267,40
L2,5.0,mk10,arrival_only,1.3108048767286733,1.0,0.13269243499380537,0.03589621499704663,40
L3,5.0,mk10,arrival_only,-0.06102573254734125,0.7,1.6403075799898943,1.5317145275039366,40
L0,0.25,mk10,breakdown_only,-0.015892857142853246,0.375,0.052855702486704105,0.011387607490178198,40
L1,0.25,mk10,breakdown_only,-0.1359496900836689,0.35,0.07654934999882243,0.03425696500344202,40
L2,0.25,mk10,breakdown_only,-0.1359496900836689,0.325,0.08511930750100874,0.04217659999558236,40
L3,0.25,mk10,breakdown_only,0.0,0.1,0.12150618000887334,0.07110448000603356,40
L0,0.5,mk10,breakdown_only,-0.015892857142853246,0.375,0.053188517509261145,0.011152947501977905,40
L1,0.5,mk10,breakdown_only,-0.1359496900836689,0.35,0.08241647749964613,0.04027390500996262,40
L2,0.5,mk10,breakdown_only,-0.1359496900836689,0.35,0.0965753924974706,0.05451342498708982,40
L3,0.5,mk10,breakdown_only,0.0,0.1,0.18923975750221872,0.13968490998959168,40
L0,1.0,mk10,breakdown_only,0.0,0.375,0.05275259498739615,0.011089667494525201,40
L1,1.0,mk10,breakdown_only,-0.1359496900836689,0.375,0.08887430250179022,0.04788689000706654,40
L2,1.0,mk10,breakdown_only,-0.1359496900836689,0.35,0.10778931500099134,0.06607069750316441,40
L3,1.0,mk10,breakdown_only,0.0,0.1,0.3270059025002411,0.27731645000749267,40
L0,2.0,mk10,breakdown_only,-0.015892857142853246,0.375,0.05230924500210676,0.011135482514509932,40
L1,2.0,mk10,breakdown_only,-0.1359496900836689,0.375,0.08818230500910432,0.04678181999188382,40
L2,2.0,mk10,breakdown_only,-0.1359496900836689,0.35,0.13390501749527176,0.09151645499514416,40
L3,2.0,mk10,breakdown_only,0.0,0.1,0.6025838299916358,0.551992897503078,40
L0,5.0,mk10,breakdown_only,0.0,0.375,0.05186520749120973,0.010397182503947989,40
L1,5.0,mk10,breakdown_only,-0.1359496900836689,0.375,0.0872834699897794,0.04626915250555612,40
L2,5.0,mk10,breakdown_only,-0.1359496900836689,0.375,0.1440548000013223,0.10284088999324012,40
L3,5.0,mk10,breakdown_only,-0.02000000000000455,0.125,1.366077200003201,1.3162025950034149,40
L0,0.25,mk10,mixed,-0.01375090699554562,0.8,0.09049825499678263,0.02029452625574777,80
L1,0.25,mk10,mixed,0.5012206765340522,0.8,0.10333760875073494,0.033991892507765444,80
L2,0.25,mk10,mixed,0.3212374272018678,0.775,0.11088477750454331,0.040460862501640805,80
L3,0.25,mk10,mixed,-0.2352679784389295,0.525,0.16275110999849857,0.08475006375374505,80
L0,0.5,mk10,mixed,-0.01375090699554562,0.8,0.0892387950036209,0.019428376251016743,80
L1,0.5,mk10,mixed,0.35122067653405226,0.8,0.10459744125546422,0.035344117489876224,80
L2,0.5,mk10,mixed,0.3162374272018667,0.775,0.1184260412454023,0.04806655624706764,80
L3,0.5,mk10,mixed,-0.2852679784389295,0.55,0.2278373337467201,0.14982796624972253,80
L0,1.0,mk10,mixed,-0.01375090699554562,0.8,0.0894589787509176,0.019497268747363704,80
L1,1.0,mk10,mixed,0.47622067653405226,0.8,0.10548095124977408,0.036170523750479334,80
L2,1.0,mk10,mixed,0.3541838557733058,0.7875,0.1224698449994321,0.053022178744140544,80
L3,1.0,mk10,mixed,-0.29026797843893065,0.55,0.3549830187461339,0.27806004875019424,80
L0,2.0,mk10,mixed,-0.005804478424118997,0.8,0.08937162874208297,0.020237267504853662,80
L1,2.0,mk10,mixed,0.47622067653405226,0.8,0.10608403874648502,0.03729382749006618,80
L2,2.0,mk10,mixed,0.31872141102894036,0.8,0.1259518512582872,0.05720436625706497,80
L3,2.0,mk10,mixed,-0.2852679784389295,0.55,0.60421461124497,0.5263929800014011,80
L0,5.0,mk10,mixed,-0.005804478424118997,0.8,0.08785395124723436,0.01904760374891339,80
L1,5.0,mk10,mixed,0.32622067653405223,0.8,0.10403926624858287,0.03538603123888606,80
L2,5.0,mk10,mixed,0.3487214110289415,0.8,0.12937637499708216,0.060593233747931664,80
L3,5.0,mk10,mixed,-0.2852679784389295,0.55,1.355565893750463,1.2773832287508413,80
L0,0.25,mk6,arrival_only,0.0,1.0,0.08731941749865654,0.022168462511035613,40
L1,0.25,mk6,arrival_only,0.2012500000000003,1.0,0.09860276750987396,0.03359510999871418,40
L2,0.25,mk6,arrival_only,0.2012500000000003,1.0,0.09987832249898929,0.03571086499432567,40
L3,0.25,mk6,arrival_only,0.1341044343013323,0.625,0.18472765999904367,0.11129720500903204,40
L0,0.5,mk6,arrival_only,0.0,1.0,0.08808121249312535,0.02277276251115836,40
L1,0.5,mk6,arrival_only,0.2012500000000003,1.0,0.09915727498882916,0.03459458751021884,40
L2,0.5,mk6,arrival_only,0.2012500000000003,1.0,0.09985810500220396,0.03501451750053093,40
L3,0.5,mk6,arrival_only,0.1341044343013323,0.675,0.277339674992254,0.20371818749408704,40
L0,1.0,mk6,arrival_only,0.0,1.0,0.0884488825162407,0.023385942506138235,40
L1,1.0,mk6,arrival_only,0.2012500000000003,1.0,0.10097985499596689,0.03508757001254707,40
L2,1.0,mk6,arrival_only,0.2012500000000003,1.0,0.10030552499811166,0.03598061500815675,40
L3,1.0,mk6,arrival_only,0.1341044343013323,0.7,0.4345299750100821,0.36202630749030507,40
L0,2.0,mk6,arrival_only,0.0,1.0,0.08812087500409689,0.02279089500370901,40
L1,2.0,mk6,arrival_only,0.2012500000000003,1.0,0.09865068249637261,0.03332776499155443,40
L2,2.0,mk6,arrival_only,0.2012500000000003,1.0,0.10114796249836218,0.0364692949980963,40
L3,2.0,mk6,arrival_only,0.33347943430133287,0.725,0.7063729474961292,0.6342290149972541,40
L0,5.0,mk6,arrival_only,0.0,1.0,0.08763029500842094,0.02212060501042288,40
L1,5.0,mk6,arrival_only,0.2012500000000003,1.0,0.10094006749277469,0.036153199992259036,40
L2,5.0,mk6,arrival_only,0.2012500000000003,1.0,0.10048023750132415,0.03616945501416922,40
L3,5.0,mk6,arrival_only,0.13347943430133286,0.775,1.4621917724929516,1.3900658300030044,40
L0,0.25,mk6,breakdown_only,-0.2680279730413915,0.325,0.02264592999999877,0.008504934996017255,40
L1,0.25,mk6,breakdown_only,-0.006969954733713734,0.2,0.06040158250543755,0.044139802499557845,40
L2,0.25,mk6,breakdown_only,-0.006969954733713734,0.175,0.06548651750199497,0.04737780250434298,40
L3,0.25,mk6,breakdown_only,-0.006969954733713734,0.15,0.07386127250792925,0.05503939000773243,40
L0,0.5,mk6,breakdown_only,-0.2680279730413915,0.325,0.022806600006879306,0.008440577503642998,40
L1,0.5,mk6,breakdown_only,-0.006969954733713734,0.25,0.08404054999118671,0.0679822449979838,40
L2,0.5,mk6,breakdown_only,-0.006969954733713734,0.2,0.10119704249373171,0.08434538249566685,40
L3,0.5,mk6,breakdown_only,-0.006969954733713734,0.15,0.11876891748979687,0.09938286750402767,40
L0,1.0,mk6,breakdown_only,-0.2680279730413915,0.325,0.022528734992374667,0.008066567496280186,40
L1,1.0,mk6,breakdown_only,-0.2672594762468307,0.275,0.11437515749712475,0.09886733499588445,40
L2,1.0,mk6,breakdown_only,-0.006969954733713734,0.225,0.15189163500326686,0.1353532125125639,40
L3,1.0,mk6,breakdown_only,-0.006969954733713734,0.15,0.20575818250363226,0.1861424299859209,40
L0,2.0,mk6,breakdown_only,-0.2680279730413915,0.325,0.021860749990446494,0.007549852502415888,40
L1,2.0,mk6,breakdown_only,-0.26740297304139204,0.3,0.14159111249900888,0.1265970000065863,40
L2,2.0,mk6,breakdown_only,-0.00711345152827505,0.25,0.22924024500825907,0.2134168725082418,40
L3,2.0,mk6,breakdown_only,-0.006969954733713734,0.15,0.38059627249313055,0.36146415500261353,40
L0,5.0,mk6,breakdown_only,-0.2680279730413915,0.325,0.02307951999246143,0.008677249998436309,40
L1,5.0,mk6,breakdown_only,-0.26740297304139204,0.325,0.17104561001178809,0.15688997749239206,40
L2,5.0,mk6,breakdown_only,-0.2928261361709943,0.3,0.3064594000054058,0.2916739024920389,40
L3,5.0,mk6,breakdown_only,-0.006969954733713734,0.175,0.87046466000902,0.851898337493185,40
L0,0.25,mk6,mixed,-0.13479366150412844,0.875,0.06503841000667307,0.01916629875777289,80
L1,0.25,mk6,mixed,0.09604784764971086,0.825,0.08714842124754796,0.04063536499597831,80
L2,0.25,mk6,mixed,0.09604784764971086,0.8125,0.09207195250346559,0.0449066587476409,80
L3,0.25,mk6,mixed,-0.007077152350289851,0.575,0.15171705624670723,0.0984882299992023,80
L0,0.5,mk6,mixed,-0.13479366150412844,0.875,0.07243152124574408,0.020581453750492074,80
L1,0.5,mk6,mixed,0.09604784764971086,0.8375,0.10000279125670204,0.051344907500606496,80
L2,0.5,mk6,mixed,0.09604784764971086,0.8125,0.11122847124934196,0.06073851124383509,80
L3,0.5,mk6,mixed,0.09292284764971015,0.6375,0.21966437250084708,0.16392305999906967,80
L0,1.0,mk6,mixed,-0.13479366150412844,0.875,0.06849613875237992,0.02061614750273293,80
L1,1.0,mk6,mixed,-0.034096913106847634,0.85,0.11460597375116777,0.06640367874351796,80
L2,1.0,mk6,mixed,0.09604784764971086,0.825,0.13667145125364186,0.08704147999960696,80
L3,1.0,mk6,mixed,-0.03207715235028985,0.6375,0.3411421700002393,0.2866882112401072,80
L0,2.0,mk6,mixed,-0.13479366150412844,0.875,0.06602766125433845,0.019579679997696074,80
L1,2.0,mk6,mixed,-0.0341686615041283,0.8625,0.12427545374957845,0.07722964999265969,80
L2,2.0,mk6,mixed,0.0959760992524302,0.8375,0.17148826375050702,0.12367638124560472,80
L3,2.0,mk6,mixed,-0.007077152350289851,0.6375,0.5783886874953168,0.5254460512442165,80
L0,5.0,mk6,mixed,-0.13479366150412844,0.875,0.06640765000047395,0.019455718754034023,80
L1,5.0,mk6,mixed,-0.0341686615041283,0.875,0.1565832100051921,0.11059862125548534,80
L2,5.0,mk6,mixed,-0.0341686615041283,0.8625,0.21902456500247353,0.1716060012447997,80
L3,5.0,mk6,mixed,-0.007077152350289851,0.6875,1.234511811255652,1.1820441737407237,80
L0,0.25,mk7,arrival_only,0.0,1.0,0.04119572748895735,0.02378347501216922,40
L1,0.25,mk7,arrival_only,0.0375,0.875,0.09219994749582838,0.07200267000880559,40
L2,0.25,mk7,arrival_only,0.0375,0.8,0.1049824575020466,0.08366304249502718,40
L3,0.25,mk7,arrival_only,0.0,0.55,0.1537427450035466,0.12582410749455447,40
L0,0.5,mk7,arrival_only,0.0,1.0,0.041572810002253394,0.02421789000800345,40
L1,0.5,mk7,arrival_only,0.0375,0.95,0.10256864002149087,0.08435353000822943,40
L2,0.5,mk7,arrival_only,0.025,0.925,0.1329977749963291,0.1142229450022569,40
L3,0.5,mk7,arrival_only,0.0,0.6,0.2572030824958347,0.22977031750779134,40
L0,1.0,mk7,arrival_only,0.0,1.0,0.04062479498970788,0.02330781000200659,40
L1,1.0,mk7,arrival_only,0.0375,1.0,0.12427205500716809,0.10670700000191573,40
L2,1.0,mk7,arrival_only,0.025,0.975,0.1531041275098687,0.1355263324949192,40
L3,1.0,mk7,arrival_only,0.0,0.6,0.45948793248971925,0.43263899749144913,40
L0,2.0,mk7,arrival_only,0.0,1.0,0.041708882511011326,0.02433699250686914,40
L1,2.0,mk7,arrival_only,0.0375,1.0,0.13111230250506195,0.11325833751470782,40
L2,2.0,mk7,arrival_only,0.025,1.0,0.18369291750423145,0.16493930500291754,40
L3,2.0,mk7,arrival_only,0.0,0.65,0.8264851475076285,0.7971838849975029,40
L0,5.0,mk7,arrival_only,0.0,1.0,0.04216307250608224,0.024485482499585487,40
L1,5.0,mk7,arrival_only,0.0375,1.0,0.12178212250291835,0.10374836000264623,40
L2,5.0,mk7,arrival_only,0.025,1.0,0.18275651498988738,0.1644733749970328,40
L3,5.0,mk7,arrival_only,0.0,0.675,1.8678400874952785,1.8395071224949788,40
L0,0.25,mk7,breakdown_only,4.511660778234727e-05,0.5,0.024758389993803576,0.013204507509362884,40
L1,0.25,mk7,breakdown_only,4.511660778234727e-05,0.3,0.08884602000762243,0.07363237250247039,40
L2,0.25,mk7,breakdown_only,4.511660778234727e-05,0.25,0.09239204500045162,0.07550013750442304,40
L3,0.25,mk7,breakdown_only,4.511660778234727e-05,0.175,0.10323296498972923,0.08399419000779744,40
L0,0.5,mk7,breakdown_only,4.511660778234727e-05,0.5,0.024455222496180797,0.013131577512831427,40
L1,0.5,mk7,breakdown_only,4.511660778234727e-05,0.3,0.1410757525009103,0.12489010498684365,40
L2,0.5,mk7,breakdown_only,4.511660778234727e-05,0.3,0.14371474749641494,0.12822379999561234,40
L3,0.5,mk7,breakdown_only,4.511660778234727e-05,0.175,0.18348450999474153,0.16525222249620128,40
