budget_sec,intensity,intensity_order,mean_reward,ci95_low,ci95_high,n
0.25,L0,0,-0.08126035054978391,-0.08563444604404687,-0.07697410364805282,2000
0.25,L1,1,-0.08117517527044774,-0.08556460989976292,-0.07686606818710218,2000
0.25,L2,2,-0.08127526865399921,-0.08567659744465773,-0.07696222207847479,2000
0.25,L3,3,-0.0812207957326315,-0.08560506929729461,-0.0769349199440321,2000
0.5,L0,0,-0.08127321101746643,-0.08564666000151917,-0.07698575751077347,2000
0.5,L1,1,-0.08122090717534428,-0.08560880821612701,-0.07690549292160424,2000
0.5,L2,2,-0.08127120905059439,-0.0856718778726368,-0.07695250816504216,2000
0.5,L3,3,-0.08120128142458319,-0.08557780630810541,-0.07691429340689002,2000
1.0,L0,0,-0.08127015965030296,-0.08564413404138696,-0.07697982119128442,2000
1.0,L1,1,-0.08123449363695465,-0.08563680588158303,-0.07693574254995333,2000
1.0,L2,2,-0.08129854705534766,-0.08570706479022992,-0.07698142243759502,2000
1.0,L3,3,-0.0812253194144157,-0.08560704808935375,-0.07694484446071263,2000
2.0,L0,0,-0.0812698636421805,-0.08564411132841107,-0.07697958354761697,2000
2.0,L1,1,-0.08124151805798183,-0.08564306633061432,-0.07694406281110285,2000
2.0,L2,2,-0.08131131913278344,-0.08571487496654126,-0.07699043232558156,2000
2.0,L3,3,-0.08120691402656421,-0.08559325810871864,-0.07692013388004336,2000
5.0,L0,0,-0.08127365031750429,-0.08564719901390798,-0.07698567732486997,2000
5.0,L1,1,-0.0812365193877246,-0.08563912602863756,-0.07693442405932997,2000
5.0,L2,2,-0.0813271619916531,-0.08572038123552463,-0.07701707590865993,2000
5.0,L3,3,-0.0812241871654366,-0.08560889571886598,-0.07693811070032552,2000
