budget_sec,method,mean_reward,ci95_low,ci95_high,n,method_order
0.25,Always-L0,-0.08363559730109454,-0.09000237084662664,-0.07702025179821685,880,0
0.25,Policy,-0.0836072778052316,-0.08996721682767111,-0.0769619437545973,880,1
0.25,Oracle,-0.08331937125115753,-0.089709928570687,-0.07673390987662221,880,2
0.5,Always-L0,-0.08365912236305088,-0.09002752800410713,-0.07705253046675538,880,0
0.5,Policy,-0.08363279614275367,-0.09000433354412796,-0.07700302587828635,880,1
0.5,Oracle,-0.08332088624619789,-0.08970998543942371,-0.07673622839812873,880,2
1.0,Always-L0,-0.08365912236305088,-0.09002752800410713,-0.07705253046675538,880,0
1.0,Policy,-0.08363214724606348,-0.09000370086985504,-0.07700253078612317,880,1
1.0,Oracle,-0.08331819117240329,-0.08970890845231462,-0.0767323638407526,880,2
2.0,Always-L0,-0.08365912236305088,-0.09002752800410713,-0.07705253046675538,880,0
2.0,Policy,-0.08363279614275367,-0.09000433354412796,-0.07700302587828635,880,1
2.0,Oracle,-0.08332088624619789,-0.08970998543942371,-0.07673622839812873,880,2
5.0,Always-L0,-0.08366182021424112,-0.09002940775291791,-0.07705438487835668,880,0
5.0,Policy,-0.08363295537549247,-0.0900055645798085,-0.07700304462116417,880,1
5.0,Oracle,-0.08333332706095765,-0.08973178982198937,-0.07675332412227043,880,2
